time,speed,direction
2009-01-24T00:55:00Z,1.54,50
2009-01-24T01:55:00Z,3.09,90
2009-01-24T02:55:00Z,2.06,240
2009-01-24T03:55:00Z,1.54,240
2009-01-24T04:55:00Z,2.57,70
2009-01-24T05:55:00Z,3.09,70
2009-01-24T06:55:00Z,2.06,100
2009-01-24T07:55:00Z,2.57,170
2009-01-24T08:55:00Z,2.06,170
2009-01-24T09:55:00Z,5.14,160
2009-01-24T10:55:00Z,4.63,190
2009-01-24T11:55:00Z,5.66,190
2009-01-24T13:55:00Z,4.12,210
2009-01-24T14:55:00Z,4.12,220
2009-01-24T15:55:00Z,4.63,180
2009-01-24T16:55:00Z,7.2,160
2009-01-24T17:55:00Z,6.17,170
2009-01-24T18:55:00Z,7.2,160
2009-01-24T19:55:00Z,6.17,160
2009-01-24T20:55:00Z,6.17,140
2009-01-24T21:55:00Z,3.6,140
2009-01-24T22:55:00Z,3.09,150
2009-01-24T23:55:00Z,5.14,130
2009-01-25T00:55:00Z,3.09,140
2009-01-25T01:55:00Z,3.6,130
2009-01-25T02:55:00Z,3.09,150
2009-01-25T03:55:00Z,3.09,160
2009-01-25T04:55:00Z,4.12,150
2009-01-25T05:55:00Z,2.57,150
2009-01-25T06:55:00Z,2.57,150
2009-01-25T07:55:00Z,2.06,110
2009-01-25T08:55:00Z,3.6,140
2009-01-25T09:55:00Z,3.09,120
2009-01-25T10:55:00Z,2.57,
2009-01-25T11:55:00Z,3.6,160
2009-01-25T12:55:00Z,3.09,110
2009-01-25T13:55:00Z,4.12,130
2009-01-25T14:55:00Z,4.12,130
2009-01-25T15:55:00Z,3.6,160
2009-01-25T16:55:00Z,5.14,160
2009-01-25T17:55:00Z,5.14,160
2009-01-25T18:55:00Z,4.63,170
2009-01-25T19:55:00Z,7.2,160
2009-01-25T20:55:00Z,3.09,150
2009-01-25T21:55:00Z,4.63,180
2009-01-25T22:55:00Z,5.66,190
2009-01-25T23:55:00Z,5.66,200
2009-01-26T00:55:00Z,5.14,180
2009-01-26T01:55:00Z,4.63,160
2009-01-26T02:55:00Z,5.66,150
2009-01-26T03:55:00Z,5.66,140
2009-01-26T04:55:00Z,4.63,160
2009-01-26T05:55:00Z,5.14,170
2009-01-26T06:55:00Z,5.66,160
2009-01-26T07:55:00Z,6.17,160
2009-01-26T08:55:00Z,5.66,160
2009-01-26T09:55:00Z,5.14,170
2009-01-26T10:55:00Z,6.69,150
2009-01-26T11:55:00Z,4.12,160
2009-01-26T12:55:00Z,4.63,170
2009-01-26T13:55:00Z,5.66,150
2009-01-26T14:55:00Z,7.2,150
2009-01-26T15:55:00Z,9.26,150
2009-01-26T16:55:00Z,7.72,170
2009-01-26T17:55:00Z,7.72,220
2009-01-26T18:55:00Z,8.75,190
2009-01-26T19:55:00Z,8.75,200
2009-01-26T20:55:00Z,8.75,220
2009-01-26T21:55:00Z,7.72,220
2009-01-26T22:55:00Z,6.17,230
2009-01-26T23:55:00Z,8.75,230
2009-01-27T00:55:00Z,8.23,200
2009-01-27T01:55:00Z,4.63,200
2009-01-27T02:55:00Z,3.6,170
2009-01-27T03:55:00Z,3.09,190
2009-01-27T04:55:00Z,2.57,180
2009-01-27T05:55:00Z,3.09,180
2009-01-27T06:55:00Z,2.06,160
2009-01-27T08:55:00Z,0,0
2009-01-27T09:55:00Z,1.54,280
2009-01-27T10:55:00Z,2.06,320
2009-01-27T11:55:00Z,1.54,260
2009-01-27T12:55:00Z,0,0
2009-01-27T13:55:00Z,4.12,250
2009-01-27T14:55:00Z,5.66,270
2009-01-27T15:55:00Z,5.14,250
2009-01-27T16:41:00Z,6.69,320
2009-01-27T16:55:00Z,3.6,320
2009-01-27T17:55:00Z,5.14,280
2009-01-27T18:55:00Z,7.2,260
2009-01-27T19:55:00Z,8.23,240
2009-01-27T20:55:00Z,9.26,280
2009-01-27T21:14:00Z,7.72,310
2009-01-27T21:55:00Z,10.29,330
2009-01-27T22:55:00Z,11.83,330
2009-01-27T23:55:00Z,8.75,330
2009-01-28T00:55:00Z,6.69,320
2009-01-28T01:55:00Z,3.09,340
2009-01-28T02:55:00Z,3.6,50
2009-01-28T03:55:00Z,3.09,30
2009-01-28T04:55:00Z,4.12,30
2009-01-28T05:55:00Z,4.12,30
2009-01-28T06:55:00Z,4.63,20
2009-01-28T08:55:00Z,3.6,330
2009-01-28T09:55:00Z,4.12,340
2009-01-28T10:55:00Z,4.63,340
2009-01-28T11:55:00Z,5.14,350
2009-01-28T12:55:00Z,3.6,340
2009-01-28T13:55:00Z,4.63,360
2009-01-28T14:55:00Z,3.09,350
2009-01-28T15:55:00Z,5.14,350
2009-01-28T16:55:00Z,5.14,10
2009-01-28T17:55:00Z,6.17,340
2009-01-28T18:55:00Z,7.2,350
2009-01-28T19:55:00Z,5.66,350
2009-01-28T20:55:00Z,4.63,20
2009-01-28T21:55:00Z,4.12,350
2009-01-28T22:55:00Z,5.14,340
2009-01-28T23:55:00Z,3.6,350
2009-01-29T00:55:00Z,2.06,300
2009-01-29T01:55:00Z,2.57,300
2009-01-29T02:55:00Z,3.6,330
2009-01-29T03:55:00Z,4.12,20
2009-01-29T04:55:00Z,5.14,20
2009-01-29T05:55:00Z,5.14,10
2009-01-29T06:55:00Z,4.63,360
2009-01-29T07:55:00Z,4.63,360
2009-01-29T08:55:00Z,4.12,350
2009-01-29T09:55:00Z,4.63,330
2009-01-29T10:55:00Z,3.6,340
2009-01-29T11:55:00Z,3.6,350
2009-01-29T12:55:00Z,5.14,340
2009-01-29T13:55:00Z,2.57,340
2009-01-29T14:55:00Z,5.14,340
2009-01-29T15:55:00Z,5.66,350
2009-01-29T16:55:00Z,9.26,340
2009-01-29T17:55:00Z,9.26,340
2009-01-29T18:55:00Z,7.72,360
2009-01-29T19:55:00Z,9.26,340
2009-01-29T20:55:00Z,8.75,330
2009-01-29T21:55:00Z,7.72,330
2009-01-29T22:55:00Z,6.69,310
2009-01-29T23:55:00Z,5.66,310
2009-01-30T00:55:00Z,4.12,320
2009-01-30T01:55:00Z,4.63,340
2009-01-30T02:55:00Z,4.12,310
2009-01-30T03:55:00Z,2.57,340
2009-01-30T04:55:00Z,3.09,340
2009-01-30T05:55:00Z,4.12,360
2009-01-30T06:55:00Z,4.63,20
2009-01-30T07:55:00Z,3.6,20
2009-01-30T08:55:00Z,2.57,70
2009-01-30T09:55:00Z,0,0
2009-01-30T10:55:00Z,2.06,20
2009-01-30T11:55:00Z,0,0
2009-01-30T12:55:00Z,2.06,100
2009-01-30T13:55:00Z,4.12,10
2009-01-30T14:55:00Z,1.54,130
2009-01-30T15:55:00Z,0,0
2009-01-30T16:55:00Z,1.54,
2009-01-30T17:55:00Z,0,0
2009-01-30T18:55:00Z,3.09,330
2009-01-30T19:55:00Z,2.57,
2009-01-30T20:55:00Z,2.06,
2009-01-30T21:55:00Z,0,0
2009-01-30T22:55:00Z,3.6,170
2009-01-30T23:55:00Z,2.06,180
2009-01-31T00:55:00Z,1.54,310
2009-01-31T01:55:00Z,1.54,30
2009-01-31T02:55:00Z,2.57,100
2009-01-31T03:55:00Z,2.06,130
2009-01-31T04:55:00Z,2.57,90
2009-01-31T05:55:00Z,3.09,90
2009-01-31T06:55:00Z,0,0
2009-01-31T07:55:00Z,1.54,70
2009-01-31T08:55:00Z,1.54,120
2009-01-31T09:55:00Z,2.57,70
2009-01-31T10:55:00Z,0,0
2009-01-31T11:55:00Z,0,0
2009-01-31T12:55:00Z,0,0
2009-01-31T13:55:00Z,0,0
2009-01-31T14:55:00Z,0,0
2009-01-31T15:55:00Z,0,0
2009-01-31T16:55:00Z,1.03,210
2009-01-31T17:55:00Z,0,0
2009-01-31T18:55:00Z,1.54,
2009-01-31T19:55:00Z,1.54,260
2009-01-31T20:55:00Z,2.06,200
2009-01-31T21:55:00Z,1.54,
2009-01-31T22:55:00Z,1.54,180
2009-02-01T00:55:00Z,2.06,120
2009-02-01T01:55:00Z,2.57,120
2009-02-01T02:55:00Z,3.6,100
2009-02-01T03:55:00Z,4.12,70
2009-02-01T04:55:00Z,4.63,80
2009-02-01T05:55:00Z,2.57,150
2009-02-01T06:55:00Z,4.12,290
2009-02-01T07:55:00Z,2.06,360
2009-02-01T08:55:00Z,4.12,40
2009-02-01T09:55:00Z,2.57,50
2009-02-01T10:55:00Z,2.06,60
2009-02-01T11:55:00Z,1.54,90
2009-02-01T12:55:00Z,0,0
2009-02-01T13:55:00Z,0,0
2009-02-01T14:55:00Z,0,0
2009-02-01T15:55:00Z,1.54,130
2009-02-01T16:55:00Z,2.06,190
2009-02-01T17:55:00Z,3.09,300
2009-02-01T18:55:00Z,4.63,310
2009-02-01T19:55:00Z,5.14,330
2009-02-01T20:55:00Z,3.6,290
2009-02-01T21:55:00Z,4.63,310
2009-02-01T22:55:00Z,5.66,320
2009-02-01T23:55:00Z,5.66,330
2009-02-02T00:55:00Z,3.6,310
2009-02-02T01:55:00Z,4.63,350
2009-02-02T02:55:00Z,3.6,90
2009-02-02T03:55:00Z,4.12,40
2009-02-02T04:55:00Z,4.63,20
2009-02-02T05:55:00Z,4.63,270
